RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,82,258,8,118,22,1,0,91,78,7,5,23,2,43,36,0,0,39,66.0,2,2,0.0,57
Bad,72,293,13,138,4,2,1,83,32,7,5,6,0,50,0,1,1,0,,0,1,0.5,50
Good,64,169,2,76,64,0,0,98,63,7,6,66,4,21,0,1,1,53,,15,2,4.0,62
Good,81,419,11,240,13,0,0,100,125,7,7,13,1,8,11,0,0,55,,3,2,1.0,50
Bad,68,514,14,104,14,0,0,94,10,6,6,16,0,50,0,0,0,42,,4,2,0.0,80
Bad,80,93,5,45,6,0,0,100,125,7,7,6,2,50,36,9,7,7,83.0,1,1,0.0,67
Good,65,192,6,79,22,3,2,78,44,7,2,27,3,26,8,1,0,59,80.0,7,2,2.0,90
Bad,70,241,2,104,23,1,0,70,26,7,5,27,1,52,0,1,1,43,53.0,5,2,0.0,89
Bad,59,163,18,80,5,1,1,83,63,7,6,6,0,83,6,0,0,101,42.0,1,2,1.0,100
Good,92,206,8,122,11,0,0,100,125,7,7,20,1,15,1,1,1,1,,2,1,0.0,60
Bad,61,159,2,80,27,3,2,74,5,6,2,32,2,10,36,1,1,21,,5,1,2.0,50
Good,84,311,10,85,26,0,0,100,125,7,7,26,1,31,0,0,0,8,23.0,3,2,0.0,36
Good,74,205,24,102,24,1,1,88,5,6,4,41,0,15,36,1,1,6,58.0,2,3,0.0,63
Bad,66,389,39,114,19,1,0,78,17,7,5,23,0,35,0,6,6,62,,3,2,2.0,63
Bad,58,163,2,67,23,1,0,81,3,6,5,27,4,52,0,5,5,40,79.0,7,5,1.0,93
Bad,59,185,7,76,21,0,0,83,11,6,6,24,2,63,0,3,3,59,64.0,2,6,2.0,73
Good,77,118,5,58,36,0,0,97,56,7,6,38,2,11,5,0,0,6,42.0,1,2,0.0,27
Good,76,348,7,119,29,0,0,100,125,7,7,29,1,28,0,0,0,33,89.0,10,2,1.0,65
Good,58,71,2,31,20,0,0,91,8,6,6,22,6,41,0,0,0,35,81.0,2,3,1.0,56
Good,85,214,5,79,28,0,0,97,39,7,6,33,1,33,14,0,0,7,,3,2,0.0,50
Good,80,263,14,84,23,0,0,96,63,7,6,23,0,52,0,0,0,8,33.0,4,3,0.0,70
Bad,75,160,2,82,46,0,0,100,125,7,7,48,2,17,0,3,3,19,,10,3,1.0,41
Bad,80,94,3,49,27,0,0,100,125,7,7,28,1,14,0,2,2,21,,4,1,0.0,45
Bad,63,257,12,84,31,0,0,97,14,7,6,61,0,29,0,4,4,70,73.0,10,3,5.0,70
Bad,62,343,3,154,16,9,4,60,28,7,2,25,2,20,0,3,3,59,,4,2,1.0,67
Good,60,273,3,126,32,4,4,89,2,6,6,35,3,11,0,0,0,37,74.0,16,2,0.0,95
Good,71,155,1,71,24,0,0,100,125,7,7,25,3,32,3,3,3,54,,3,1,1.0,100
Bad,65,249,2,70,32,1,1,94,14,7,6,33,2,18,36,2,2,48,,8,1,1.0,45
Bad,63,378,10,84,36,1,1,89,10,6,4,37,2,54,0,2,2,60,67.0,4,6,3.0,77
Bad,70,211,25,107,14,0,0,86,3,6,6,14,0,29,0,0,0,13,58.0,3,2,0.0,56
Bad,42,179,1,72,50,9,6,69,0,2,2,62,5,53,36,2,2,92,94.0,4,5,4.0,100
Bad,74,66,6,36,10,0,0,100,125,7,7,10,1,40,0,3,0,41,94.0,2,1,1.0,75
Good,73,138,5,76,5,1,1,75,25,7,4,8,1,63,0,2,2,0,92.0,0,2,0.5,67
Good,77,170,10,84,25,0,0,100,125,7,7,26,1,12,36,2,2,58,46.0,3,1,2.0,50
Bad,84,380,10,100,15,0,0,100,125,7,7,51,1,27,5,0,0,0,87.0,1,2,0.0,33
Good,73,209,11,84,22,1,0,87,29,7,5,23,1,43,0,1,1,6,84.0,2,2,1.0,31
Good,77,195,22,87,24,0,0,100,125,7,7,46,0,13,4,1,1,49,,6,1,1.0,58
Bad,73,41,10,23,7,0,0,100,125,7,7,7,3,29,0,5,5,17,,1,1,1.0,33
Good,91,283,9,140,7,0,0,100,125,7,7,7,1,29,0,0,0,11,,2,1,0.0,60
Good,66,130,8,49,15,1,1,88,33,7,2,16,1,81,0,0,0,78,83.0,1,5,0.5,100
Good,66,305,36,134,26,1,0,90,8,6,5,29,0,28,5,0,0,46,,6,2,3.0,62
Bad,72,103,9,58,16,2,0,89,59,7,5,19,1,6,1,1,1,14,,2,2,1.0,18
Bad,58,108,4,49,11,2,1,57,6,6,2,14,3,71,0,4,3,0,74.0,1,4,0.5,83
Good,54,189,6,85,7,1,0,50,3,5,5,10,1,40,0,0,0,81,,4,1,1.0,100
Good,84,264,2,87,19,0,0,100,125,7,7,20,2,35,0,3,3,14,94.0,2,2,1.0,36
Bad,57,140,13,67,8,4,4,80,26,7,4,10,0,50,3,1,1,93,71.0,1,2,1.0,100
Bad,58,107,22,55,17,1,0,89,1,5,5,18,0,22,1,2,2,6,,5,1,0.0,60
Good,89,190,17,88,21,0,0,100,125,7,7,21,0,19,0,1,1,14,,3,1,0.0,50
Good,65,228,7,89,12,2,2,93,80,7,3,15,2,57,0,1,1,92,,1,1,1.0,100
Bad,91,291,7,88,26,0,0,100,125,7,7,26,2,35,7,0,0,0,,3,2,0.0,23
Bad,68,221,7,89,19,4,0,83,53,7,5,23,1,39,0,0,0,70,100.0,2,2,2.0,40
Bad,66,172,10,90,44,0,0,100,125,7,7,48,1,38,36,2,1,65,85.0,12,2,8.0,82
Bad,74,183,6,76,19,0,0,100,125,7,7,19,2,26,0,0,0,44,15.0,4,2,2.0,75
Bad,62,295,21,124,10,2,2,64,16,7,2,14,0,36,20,0,0,38,30.0,3,3,0.0,86
Bad,60,159,6,69,15,0,0,73,2,6,6,22,1,33,13,0,0,62,42.0,4,3,2.0,88
Bad,69,59,10,43,10,2,2,75,32,7,3,12,1,50,0,0,0,18,81.0,1,2,0.0,75
Bad,59,246,2,81,34,0,0,94,3,6,6,41,3,46,8,0,0,56,85.0,7,3,3.0,67
Bad,84,239,6,63,25,0,0,100,125,7,7,27,4,37,0,5,5,7,,2,2,0.0,20
Good,82,401,10,161,13,0,0,93,3,6,6,14,3,14,0,0,0,5,,2,2,0.0,40
Good,68,196,9,79,26,0,0,93,2,6,6,29,1,41,8,0,0,30,50.0,4,4,1.0,80
Bad,77,433,2,22,7,0,0,100,125,7,7,24,3,25,1,2,2,17,100.0,1,2,0.0,60
Bad,74,167,4,63,17,0,0,94,31,7,6,17,2,41,0,2,2,38,91.0,4,3,2.0,78
Bad,83,192,63,148,7,0,0,100,125,7,7,7,0,71,0,1,1,30,,3,1,0.5,100
Good,66,52,7,7,1,0,0,100,125,7,7,2,1,0,36,3,3,48,,1,2,0.5,100
Good,83,229,3,71,14,0,0,100,125,7,7,14,2,43,0,3,3,0,95.0,1,4,0.0,71
Good,80,223,5,96,25,0,0,100,125,7,7,25,4,36,0,1,1,18,83.0,5,3,1.0,53
Good,87,206,32,87,23,0,0,100,125,7,7,23,0,30,0,3,3,6,,1,2,0.0,13
Bad,76,114,7,51,23,0,0,100,125,7,7,23,6,35,0,0,0,1,90.0,1,3,0.0,50
Bad,81,76,10,49,12,0,0,100,125,7,7,12,1,17,0,0,0,27,,2,1,0.0,44
Bad,65,153,4,81,17,0,0,89,29,7,6,19,3,53,1,1,1,60,,4,2,0.0,86
Good,89,148,15,79,11,0,0,100,125,7,7,12,0,33,0,0,0,2,,3,1,0.0,80
Bad,69,153,32,85,3,0,0,100,125,7,7,3,0,100,36,2,1,30,10.0,3,1,0.5,100
Bad,58,195,2,57,26,0,0,100,125,7,7,27,4,33,36,4,4,72,100.0,9,2,3.0,92
Good,82,350,10,100,30,0,0,100,125,7,7,31,1,52,3,1,1,4,58.0,4,3,0.0,100
Bad,54,207,3,69,34,1,0,75,1,5,5,38,6,25,2,2,2,17,80.0,8,5,1.0,68
Bad,64,150,2,45,12,1,1,86,3,2,2,14,4,21,0,2,2,9,,4,1,0.5,56
Bad,79,275,7,102,38,0,0,95,22,7,6,38,2,16,0,2,2,2,,6,2,0.0,40
Bad,82,220,5,59,26,0,0,100,125,7,7,27,3,22,0,2,2,24,,4,1,1.0,63
Good,66,203,2,64,21,1,0,83,4,6,5,23,2,26,2,1,1,14,,3,2,0.0,38
Bad,72,118,4,55,14,0,0,100,125,7,7,14,2,36,36,1,1,76,,6,2,3.0,75
Bad,67,68,3,21,8,0,0,100,125,7,7,8,3,13,0,1,1,57,,3,1,0.0,67
Good,75,144,7,56,26,0,0,100,125,7,7,27,2,42,1,1,1,32,62.0,3,4,1.0,67
Bad,63,175,7,62,13,1,1,71,16,7,6,14,2,64,0,6,6,50,100.0,5,3,0.0,100
Bad,68,178,3,85,21,0,0,100,125,7,7,22,3,43,2,7,7,66,3.0,3,3,1.0,100
Good,90,179,13,86,12,0,0,100,125,7,7,12,0,25,0,4,4,0,,2,1,0.0,50
Good,74,254,11,85,10,0,0,100,125,7,7,10,1,50,4,1,1,93,38.0,2,3,2.0,100
Bad,69,39,4,23,7,1,0,88,14,7,5,8,2,13,0,8,8,19,,3,2,0.0,50
Bad,65,180,2,81,7,2,0,73,15,7,5,11,2,18,0,0,0,81,,2,1,1.0,100
Bad,72,185,3,75,24,0,0,96,52,7,6,26,2,38,0,2,2,43,88.0,5,2,2.0,70
Good,81,194,11,91,17,0,0,100,125,7,7,17,1,41,3,2,2,79,50.0,1,1,1.0,100
Good,77,188,3,64,27,0,0,100,125,7,7,27,2,15,36,1,1,22,62.0,2,3,0.0,45
Good,74,222,3,102,24,1,1,96,50,7,2,27,2,37,0,2,2,3,,3,2,0.0,27
Good,77,409,15,137,33,0,0,100,125,7,7,34,0,26,0,0,0,18,68.0,8,2,0.0,65
Bad,66,92,2,59,4,2,2,83,25,7,6,6,1,83,36,1,1,30,,1,1,0.5,100
Bad,72,221,3,76,13,0,0,100,125,7,7,13,4,54,0,3,3,75,96.0,5,4,2.0,100
Good,65,145,1,51,7,3,2,80,58,7,2,15,2,50,36,1,1,43,61.0,3,2,0.0,100
Good,87,254,31,106,14,0,0,100,125,7,7,14,0,43,0,2,2,5,,2,2,0.0,44
Good,87,255,10,111,32,0,0,100,125,7,7,32,2,13,3,1,1,2,,1,3,0.0,27
Bad,76,87,2,34,30,0,0,100,125,7,7,35,6,34,0,16,16,4,60.0,9,1,0.0,65
Good,80,173,8,62,17,0,0,100,125,7,7,18,2,67,0,1,1,21,93.0,3,3,0.0,100
Bad,73,124,5,41,8,0,0,100,125,7,7,8,2,50,36,0,0,84,76.0,2,3,2.0,83
Bad,61,254,14,112,13,0,0,94,7,6,6,16,0,44,36,4,3,63,77.0,5,5,3.0,91
Bad,73,374,8,85,27,0,0,96,16,7,6,27,1,26,0,1,1,38,11.0,4,3,2.0,70
Good,88,185,19,92,28,0,0,100,125,7,7,28,0,50,16,0,0,8,62.0,2,3,0.0,63
Bad,61,43,3,23,25,0,0,100,125,7,7,25,6,0,0,6,3,44,,12,2,3.0,52
Bad,64,330,10,112,8,1,0,67,6,6,5,9,1,33,0,0,0,84,89.0,4,2,2.0,75
Bad,55,234,13,83,20,1,0,70,1,5,5,24,0,22,4,3,3,46,24.0,8,3,2.0,72
Bad,68,164,3,59,40,1,1,93,17,7,4,43,5,47,0,1,1,24,78.0,7,12,1.0,76
Good,84,206,4,80,19,0,0,100,125,7,7,19,3,16,0,1,1,1,,2,1,0.0,43
Good,66,167,24,66,20,0,0,90,4,6,6,22,0,76,36,0,0,25,36.0,1,2,0.0,50
Good,86,181,3,89,11,0,0,100,125,7,7,11,1,9,1,2,2,5,,2,2,0.0,50
Good,87,254,21,92,26,0,0,100,125,7,7,26,0,23,0,1,1,0,,2,2,0.0,40
Bad,63,153,6,68,37,1,1,91,25,7,6,45,1,89,0,0,0,82,74.0,3,5,0.0,100
Bad,76,134,11,67,28,0,0,100,125,7,7,28,1,21,36,0,0,62,14.0,3,2,1.0,83
Bad,68,368,4,111,47,0,0,100,125,7,7,49,2,27,0,1,1,78,61.0,21,2,9.0,80
Bad,67,278,22,87,4,0,0,33,1,6,6,6,0,33,0,1,0,34,17.0,2,2,0.0,67
Good,77,347,5,172,18,0,0,100,125,7,7,18,1,6,0,0,0,32,,5,1,1.0,75
Good,83,257,5,68,22,0,0,100,125,7,7,22,2,41,1,2,2,2,60.0,3,6,0.0,64
Bad,76,107,30,57,5,0,0,83,14,7,6,6,0,50,0,0,0,30,,1,2,0.0,100
Bad,55,241,5,89,11,3,2,71,2,6,3,14,1,64,0,1,1,78,75.0,3,2,1.0,83
Bad,93,399,27,174,5,0,0,100,125,7,7,5,0,0,2,1,1,0,,0,2,0.0,0
Bad,64,139,22,109,3,2,1,80,7,5,5,5,0,60,0,2,2,30,,3,1,0.5,100
Bad,76,88,2,25,11,0,0,100,125,7,7,13,7,54,36,3,3,0,88.0,0,4,0.0,40
Good,78,215,1,91,14,0,0,100,125,7,7,15,1,33,0,1,1,62,,1,1,1.0,67
Good,87,155,4,70,35,0,0,100,125,7,7,36,1,19,0,0,0,2,,2,1,0.0,20
Bad,65,82,1,43,25,2,1,97,70,7,5,30,3,33,2,4,4,33,53.0,2,8,1.0,56
Bad,72,84,7,45,21,0,0,95,25,7,6,22,3,50,0,0,0,6,72.0,6,3,0.0,69
Good,86,269,5,80,25,0,0,100,125,7,7,25,1,16,4,1,1,2,,3,1,0.0,27
Good,73,161,4,73,43,1,1,84,31,7,4,44,1,20,0,8,8,30,91.0,5,3,1.0,35
Bad,64,246,16,106,5,3,3,88,57,7,3,8,0,88,36,1,1,30,144.0,3,4,0.5,100
Bad,88,163,11,87,9,0,0,90,63,7,6,10,1,20,0,0,0,2,,2,2,0.0,40
Bad,56,151,19,78,38,2,2,90,7,6,3,42,0,67,1,3,3,86,59.0,5,3,1.0,100
Good,92,343,14,154,18,0,0,100,125,7,7,18,0,28,0,0,0,3,,3,2,0.0,38
Bad,82,324,43,137,9,0,0,90,79,7,6,10,0,20,0,2,2,2,,1,2,0.0,25
Good,67,159,6,96,8,1,1,89,63,7,6,9,2,22,0,10,10,77,,5,2,0.0,71
Bad,77,154,3,55,31,0,0,100,125,7,7,32,6,63,2,2,1,26,74.0,5,14,0.0,86
Good,84,200,12,69,18,0,0,100,125,7,7,18,0,39,13,0,0,1,86.0,2,2,0.0,40
Good,66,173,8,58,17,2,1,85,2,2,2,20,4,45,0,0,0,7,68.0,3,2,0.0,75
Bad,75,175,2,70,13,1,0,93,51,7,2,15,1,53,0,1,1,57,79.0,1,3,0.5,57
Bad,83,144,18,68,13,0,0,100,125,7,7,13,0,23,0,0,0,3,,3,2,0.0,100
Good,66,256,9,76,32,0,0,97,16,7,6,33,1,30,0,0,0,34,60.0,6,3,3.0,45
Good,65,256,15,52,17,0,0,100,125,7,7,19,0,29,2,5,5,57,79.0,2,4,2.0,60
Good,90,152,28,107,3,0,0,100,125,7,7,3,0,67,13,0,0,0,5.0,0,1,0.0,50
Bad,81,598,4,205,37,0,0,100,125,7,7,37,2,22,0,1,1,28,7.0,7,4,1.0,50
Bad,55,171,10,65,52,1,1,98,1,6,6,54,1,69,1,2,2,83,56.0,6,12,2.0,90
Bad,75,177,4,99,38,0,0,97,2,6,6,38,2,32,36,0,0,13,100.0,6,2,1.0,50
Good,84,158,13,74,14,0,0,100,125,7,7,16,0,63,0,1,1,16,82.0,2,3,0.0,71
Good,84,313,6,103,25,0,0,100,125,7,7,25,2,24,11,0,0,10,92.0,4,3,0.0,70
Good,83,167,16,69,38,1,0,98,66,7,5,40,0,40,0,0,0,9,,3,1,0.0,36
Bad,74,343,6,93,34,0,0,97,15,7,6,44,3,35,0,3,3,2,73.0,5,3,1.0,42
Good,89,265,30,129,17,0,0,100,125,7,7,17,0,12,0,1,0,9,,5,1,0.0,50
Bad,55,144,4,84,20,3,0,83,2,5,5,23,1,43,0,0,0,33,,8,1,1.0,69
Bad,72,164,2,67,38,0,0,100,125,7,7,42,8,19,36,1,1,55,,7,2,3.0,67
Good,86,191,7,80,25,0,0,100,125,7,7,26,3,50,1,2,2,16,98.0,1,1,0.0,50
Good,75,222,2,124,23,2,2,92,62,7,2,25,2,24,0,0,0,30,57.0,4,2,1.0,40
Good,72,224,23,91,23,1,0,96,49,7,5,24,0,29,0,0,0,48,60.0,3,2,0.0,56
Good,81,190,6,84,21,0,0,100,125,7,7,21,2,29,7,0,0,8,91.0,5,2,0.0,88
Bad,63,246,5,113,10,0,0,90,5,6,6,10,1,20,6,0,0,97,,5,1,4.0,86
Good,82,180,37,106,16,0,0,94,35,7,6,16,0,13,0,2,2,3,,2,1,0.0,38
Good,70,206,19,75,17,0,0,100,125,7,7,18,0,28,0,1,1,58,,4,1,3.0,60
Bad,58,33,5,18,12,0,0,100,125,7,7,12,4,50,0,1,1,96,68.0,5,5,4.0,91
Good,83,187,2,75,30,0,0,100,125,7,7,32,1,45,2,1,1,5,84.0,1,5,0.0,55
Bad,68,68,10,33,16,0,0,100,125,7,7,16,2,13,0,2,2,53,58.0,5,2,3.0,64
Good,80,208,12,76,30,1,0,97,23,7,5,31,0,13,0,0,0,1,71.0,5,2,0.0,35
Good,72,202,2,62,28,0,0,83,7,6,6,30,3,24,2,2,2,6,63.0,2,2,0.0,33
Good,74,378,7,110,41,0,0,98,35,7,6,42,4,57,0,0,0,44,76.0,4,5,2.0,69
Good,90,184,71,106,4,0,0,100,125,7,7,4,0,50,0,0,0,0,,0,1,0.0,50
Bad,60,101,8,34,20,1,0,81,8,6,5,21,2,67,0,0,0,30,89.0,1,8,1.0,82
Good,86,467,10,123,25,0,0,96,17,7,6,26,1,31,9,0,0,3,34.0,4,1,0.0,50
Good,81,181,5,62,24,0,0,100,125,7,7,25,3,25,22,0,0,17,2.0,3,2,0.0,56
Bad,65,94,6,43,31,2,1,91,38,7,5,36,5,42,0,0,0,18,88.0,5,3,0.0,50
Good,72,135,10,67,25,1,1,92,29,7,2,32,2,31,36,1,1,5,,2,1,0.0,33
Bad,80,262,0,72,22,0,0,100,125,7,7,24,1,17,0,1,1,20,74.0,5,1,2.0,38
Good,75,159,10,58,9,1,1,91,66,7,3,11,1,9,0,3,3,15,,2,1,0.0,63
Bad,77,212,13,80,18,0,0,100,125,7,7,27,0,28,0,2,2,36,,8,1,1.0,91
Bad,69,155,3,52,31,0,0,100,125,7,7,31,1,29,36,2,2,51,98.0,3,3,2.0,46
Good,58,128,12,61,29,0,0,97,5,6,6,29,0,45,36,2,2,37,76.0,6,8,2.0,82
Bad,58,210,14,87,23,0,0,70,1,6,6,23,0,35,0,1,1,53,5.0,6,3,2.0,77
Bad,81,190,8,82,22,0,0,95,63,7,6,22,3,27,0,0,0,17,49.0,2,2,0.0,44
Bad,70,83,3,40,26,4,2,80,10,6,4,30,3,33,36,0,0,3,89.0,2,4,0.0,58
Good,91,197,47,104,18,0,0,100,125,7,7,18,0,11,0,0,0,3,,2,2,0.0,20
Good,70,118,7,45,17,0,0,88,11,6,6,17,4,35,0,0,0,15,,1,1,0.0,29
Bad,57,123,13,57,5,6,6,71,29,7,2,8,0,29,0,2,2,100,,1,1,1.0,100
Good,71,180,2,71,20,0,0,92,16,7,6,26,5,42,2,2,2,37,,4,1,0.0,63
Bad,84,215,8,73,25,1,0,93,38,7,5,27,1,41,20,0,0,0,,0,2,0.0,17
Bad,70,74,9,47,16,0,0,100,125,7,7,16,1,50,1,4,4,44,73.0,4,2,2.0,67
Bad,66,87,13,38,14,1,1,93,29,7,6,16,0,67,0,0,0,48,75.0,2,3,1.0,83
Good,76,146,12,54,13,0,0,100,125,7,7,14,0,36,0,0,0,48,49.0,2,3,0.0,100
Good,71,208,20,83,25,0,0,85,13,7,6,26,0,35,0,1,1,10,65.0,3,2,1.0,45
Bad,43,165,15,80,20,6,4,61,1,5,3,28,0,11,2,2,2,93,,15,2,7.0,100
Good,87,138,6,89,13,0,0,100,125,7,7,17,1,41,6,0,0,8,,2,1,0.0,75
Bad,65,369,25,145,40,3,3,91,19,7,2,45,0,36,0,2,2,83,46.0,13,4,6.0,89
Bad,68,116,1,51,20,0,0,100,125,7,7,21,2,24,0,2,2,50,,6,1,2.0,64
Good,83,171,2,77,12,0,0,92,55,7,6,14,1,31,0,0,0,12,78.0,2,2,0.0,80
Bad,68,132,5,43,13,0,0,100,125,7,7,13,2,15,0,2,1,72,,8,1,4.0,82
Bad,66,113,2,65,21,1,0,96,31,7,5,23,2,35,6,0,0,66,96.0,6,5,3.0,86
Bad,73,134,1,33,3,1,1,86,29,7,3,7,3,29,0,2,2,5,,2,1,1.0,75
Good,77,242,15,97,23,0,0,100,125,7,7,23,0,4,0,0,0,44,,5,1,2.0,50
Bad,67,325,13,106,12,0,0,62,1,6,6,33,0,38,36,0,0,92,14.0,2,2,0.5,80
Bad,62,118,6,56,13,1,1,73,5,6,6,16,1,33,0,1,1,39,18.0,2,2,0.0,80
Bad,60,163,2,57,43,1,0,96,22,7,5,47,11,44,0,8,8,35,62.0,7,1,1.0,47
Good,86,191,7,82,27,0,0,100,125,7,7,28,1,22,7,0,0,0,,0,1,0.0,8
Bad,62,163,11,53,22,0,0,87,23,7,6,23,1,39,0,0,0,68,92.0,6,2,3.0,89
Bad,86,294,9,118,16,0,0,100,125,7,7,16,1,19,0,0,0,18,,2,2,0.0,44
Good,80,234,0,62,27,0,0,100,125,7,7,35,4,26,0,3,3,22,,4,1,2.0,38
Bad,58,129,2,23,21,0,0,100,125,7,7,23,7,36,36,4,2,74,74.0,8,4,2.0,93
Good,72,403,31,180,23,0,0,87,56,7,6,23,0,17,0,1,1,53,,9,1,3.0,83
Bad,60,159,2,36,27,0,0,96,4,6,6,28,6,36,36,2,2,58,55.0,13,3,2.0,100
Bad,61,102,8,57,5,2,1,71,23,7,3,7,2,14,0,0,0,97,,3,1,1.0,80
Good,66,93,1,49,24,1,1,81,38,7,2,27,4,19,0,0,0,47,57.0,3,3,1.0,64
Bad,77,123,2,46,16,0,0,100,125,7,7,17,5,47,36,2,2,18,87.0,3,4,0.5,64
Bad,61,206,5,89,30,0,0,90,34,7,6,30,2,20,0,1,1,61,28.0,10,2,5.0,72
Good,85,207,3,63,21,0,0,100,125,7,7,21,1,29,4,1,1,9,70.0,3,2,0.0,45
Bad,57,212,2,87,29,1,1,94,61,7,6,32,4,47,0,5,5,57,69.0,6,2,2.0,73
Bad,66,59,10,34,4,0,0,100,125,7,7,4,2,75,0,5,5,89,74.0,1,2,0.5,100
Bad,59,220,2,70,29,0,0,97,4,6,6,30,2,47,0,0,0,55,89.0,4,3,3.0,70
Bad,64,141,1,29,23,1,1,96,39,7,2,26,7,12,1,7,7,34,87.0,10,2,0.0,82
Bad,73,213,1,149,15,0,0,89,18,7,6,18,2,28,36,0,0,58,,5,2,1.0,63
Bad,73,159,7,60,16,0,0,94,15,7,6,16,3,44,36,0,0,72,94.0,5,2,0.0,100
Bad,65,106,5,42,11,1,0,92,22,7,5,13,3,31,0,2,2,60,,4,1,1.0,83
Good,65,184,7,77,24,2,2,88,4,6,2,27,1,46,0,2,2,19,80.0,1,3,0.0,44
Bad,55,156,5,65,59,1,1,98,2,6,6,59,5,36,1,12,11,44,91.0,7,5,1.0,92
Bad,57,206,1,84,53,1,1,94,61,2,6,83,1,31,1,2,2,60,97.0,11,3,3.0,75
Good,80,124,10,54,17,1,0,94,69,7,5,18,1,44,0,2,1,28,62.0,2,3,0.0,63
Bad,84,394,3,134,26,0,0,96,16,7,6,27,3,56,0,1,1,7,80.0,5,3,0.0,73
Bad,60,79,6,32,18,0,0,100,125,7,7,19,6,26,0,4,4,20,100.0,6,2,1.0,57
Good,68,110,9,41,32,0,0,100,125,7,7,32,1,25,0,1,1,92,65.0,3,2,2.0,71
Bad,71,164,10,81,12,0,0,100,125,7,7,12,1,33,0,1,0,83,40.0,5,2,2.0,78
Bad,63,177,6,116,28,0,0,87,2,6,6,29,2,50,0,9,9,52,40.0,3,9,0.0,72
Good,65,521,10,159,36,0,0,90,3,6,6,39,1,41,0,0,0,19,85.0,7,2,0.0,64
Bad,67,299,2,79,25,0,0,89,15,7,6,27,3,37,0,12,11,63,63.0,13,3,4.0,94
Good,75,69,1,39,16,0,0,100,125,7,7,18,4,17,0,2,2,21,,4,1,0.0,50
Good,66,130,2,44,12,0,0,92,4,6,6,13,1,23,0,1,1,32,52.0,5,2,1.0,70
Good,79,197,17,100,15,0,0,93,29,7,6,15,0,40,5,1,1,48,26.0,1,2,1.0,75
Bad,67,189,13,111,8,4,4,70,68,7,3,10,0,50,0,1,1,97,,1,1,1.0,100
Bad,64,129,50,80,11,1,1,88,21,7,6,18,0,59,0,0,0,85,,2,2,0.0,75
Good,80,248,9,141,27,0,0,100,125,7,7,30,1,30,36,1,1,23,91.0,2,3,1.0,56
Good,69,216,36,82,15,1,1,93,24,7,6,15,0,33,0,0,0,51,,8,1,0.0,100
Good,67,203,45,144,12,1,1,86,2,2,2,23,0,36,36,0,0,76,90.0,3,2,0.0,83
Good,73,192,6,74,27,0,0,100,125,7,7,27,1,41,0,1,1,24,,6,4,2.0,59
Good,70,193,2,57,22,0,0,100,125,7,7,23,2,22,18,0,0,53,80.0,6,4,1.0,63
Bad,74,462,1,58,15,0,0,100,125,7,7,45,6,17,0,2,2,18,,6,2,2.0,67
Bad,60,313,2,78,27,4,1,76,9,6,3,33,4,36,0,5,5,42,30.0,6,2,1.0,73
Good,72,140,3,80,27,0,0,96,66,7,6,27,3,44,36,0,0,22,39.0,5,4,1.0,75
Bad,78,191,16,100,10,2,2,91,55,7,2,11,0,45,0,0,0,5,,2,1,0.0,75
Bad,65,155,3,62,39,0,0,80,26,7,6,40,7,48,4,1,1,45,66.0,4,5,1.0,71
Good,75,97,0,43,28,0,0,100,125,7,7,30,4,67,0,5,5,48,79.0,3,5,1.0,89
Bad,77,166,5,50,9,0,0,100,125,7,7,40,2,33,36,1,1,56,96.0,3,3,1.0,100
Good,65,165,3,53,27,2,1,86,61,7,4,35,5,41,36,6,6,31,60.0,6,3,1.0,69
Bad,70,132,1,41,21,0,0,100,125,7,7,23,9,22,36,3,3,50,99.0,3,1,1.0,50
Bad,72,209,2,95,41,0,0,100,125,7,7,42,3,38,0,1,1,42,,7,2,2.0,82
Good,89,209,1,96,22,0,0,100,125,7,7,26,3,38,5,1,1,18,59.0,2,3,0.0,71
Good,90,414,8,102,22,0,0,100,125,7,7,22,1,36,8,0,0,0,93.0,1,2,0.0,33
Good,77,129,15,66,19,0,0,95,48,7,6,19,0,47,14,0,0,40,29.0,2,2,0.0,80
Good,61,113,20,54,3,5,5,50,29,7,2,6,0,67,36,0,0,30,10.0,3,2,0.5,100
Good,71,180,9,46,15,0,0,88,21,7,6,16,3,44,8,0,0,32,89.0,3,2,0.0,63
Bad,56,165,1,71,1,6,5,75,34,7,5,9,2,50,0,3,3,0,,0,1,0.0,67
Good,80,360,2,114,27,0,0,97,25,7,6,29,2,62,0,1,1,10,100.0,3,2,2.0,63
Good,80,138,44,97,26,0,0,100,125,7,7,34,0,62,6,0,0,8,,1,1,0.0,33
Good,58,78,4,46,18,0,0,95,23,7,6,19,3,16,36,2,2,87,,11,1,5.0,80
Good,91,429,59,161,9,0,0,100,125,7,7,9,0,11,0,0,0,9,,2,2,0.0,50
